"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"acl_init_table-1","limit","db/changelog/init/00_acl_init_table.yaml","2026-03-11T12:16:16.647","1","EXECUTED","9:10b503d1ecb83f429ea70460967db93c","createTable tableName=com_acl_object_identity","","","4.29.2","()","","3227776594"
"acl_init_table-2","limit","db/changelog/init/00_acl_init_table.yaml","2026-03-11T12:16:16.65","2","EXECUTED","9:c47887cf4312b319e7dee537a739058f","createTable tableName=com_acl_sid","","","4.29.2","()","","3227776594"
"acl_init_table-3","limit","db/changelog/init/00_acl_init_table.yaml","2026-03-11T12:16:16.652","3","EXECUTED","9:626bfc35ad9346dbc74c4aeea2a50cc8","createTable tableName=com_acl_entry","","","4.29.2","()","","3227776594"
"acl_init_table-4","limit","db/changelog/init/00_acl_init_table.yaml","2026-03-11T12:16:16.653","4","EXECUTED","9:1fb72801c5d3c0691eee81302602d547","createTable tableName=com_acl_class","","","4.29.2","()","","3227776594"
"alarmes-init-table-1","limit","db/changelog/init/00_alarmes_init_table.yaml","2026-03-11T12:16:16.655","5","EXECUTED","9:39bab94c9ae985202bd1219d2e6104ab","createTable tableName=com_alarma_config","","","4.29.2","()","","3227776594"
"alarmes-init-table-2","limit","db/changelog/init/00_alarmes_init_table.yaml","2026-03-11T12:16:16.657","6","EXECUTED","9:f8ce194c9e9c222c944852bc9248d080","createTable tableName=com_alarma","","","4.29.2","()","","3227776594"
"alarmes-init-table-3","limit","db/changelog/init/00_alarmes_init_table.yaml","2026-03-11T12:16:16.659","7","EXECUTED","9:bb65ca1661f55f210a32e325ea399d0d","createTable tableName=com_alarma_usuari","","","4.29.2","()","","3227776594"
"alarmes-init-table-4","limit","db/changelog/init/00_alarmes_init_table.yaml","2026-03-11T12:16:16.66","8","EXECUTED","9:f98e3057aa66b4e1c96e352e537b25c2","addColumn tableName=com_alarma","","","4.29.2","()","","3227776594"
"alarmes-init-table-5","limit","db/changelog/init/00_alarmes_init_table.yaml","2026-03-11T12:16:16.661","9","EXECUTED","9:c0a0cea70eb0a572d24b124cc4aae425","addColumn tableName=com_alarma_config","","","4.29.2","()","","3227776594"
"alarmes-init-table-6","limit","db/changelog/init/00_alarmes_init_table.yaml","2026-03-11T12:16:16.663","10","EXECUTED","9:5e6c0296ea4c584003c02cc0c5fe00e5","addColumn tableName=com_alarma_config","","","4.29.2","()","","3227776594"
